-49	-0,232
-48	-0,228
-47	-0,224
-46	-0,219
-45	-0,215
-44	-0,211
-43	-0,207
-42	-0,203
-41	-0,199
-40	-0,194
-39	-0,19
-38	-0,186
-37	-0,181
-36	-0,177
-35	-0,173
-34	-0,168
-33	-0,164
-32	-0,159
-31	-0,155
-30	-0,15
-29	-0,146
-28	-0,141
-27	-0,136
-26	-0,132
-25	-0,127
-24	-0,122
-23	-0,117
-22	-0,113
-21	-0,108
-20	-0,103
-19	-0,098
-18	-0,093
-17	-0,088
-16	-0,083
-15	-0,078
-14	-0,073
-13	-0,068
-12	-0,063
-11	-0,058
-10	-0,053
-9	-0,048
-8	-0,042
-7	-0,037
-6	-0,032
-5	-0,027
-4	-0,021
-3	-0,016
-2	-0,011
-1	-0,005
0	0
1	0,005
2	0,011
3	0,016
4	0,022
5	0,027
6	0,033
7	0,038
8	0,044
9	0,05
10	0,055
11	0,061
12	0,067
13	0,072
14	0,078
15	0,084
16	0,09
17	0,095
18	0,101
19	0,107
20	0,113
21	0,119
22	0,125
23	0,131
24	0,137
25	0,143
26	0,149
27	0,155
28	0,161
29	0,167
30	0,173
31	0,179
32	0,185
33	0,191
34	0,197
35	0,204
36	0,21
37	0,216
38	0,222
39	0,229
40	0,235
41	0,241
42	0,248
43	0,254
44	0,26
45	0,267
46	0,273
47	0,28
48	0,286
49	0,292
50	0,299
51	0,305
52	0,312
53	0,319
54	0,325
55	0,332
56	0,338
57	0,345
58	0,352
59	0,358
60	0,365
61	0,372
62	0,378
63	0,385
64	0,392
65	0,399
66	0,405
67	0,412
68	0,419
69	0,426
70	0,433
71	0,44
72	0,446
73	0,453
74	0,46
75	0,467
76	0,474
77	0,481
78	0,488
79	0,495
80	0,502
81	0,509
82	0,516
83	0,523
84	0,53
85	0,538
86	0,545
87	0,552
88	0,559
89	0,566
90	0,573
91	0,58
92	0,588
93	0,595
94	0,602
95	0,609
96	0,617
97	0,624
98	0,631
99	0,639
100	0,646
101	0,653
102	0,661
103	0,668
104	0,675
105	0,683
106	0,69
107	0,698
108	0,705
109	0,713
110	0,72
111	0,727
112	0,735
113	0,743
114	0,75
115	0,758
116	0,765
117	0,773
118	0,78
119	0,788
120	0,795
121	0,803
122	0,811
123	0,818
124	0,826
125	0,834
126	0,841
127	0,849
128	0,857
129	0,865
130	0,872
131	0,88
132	0,888
133	0,896
134	0,903
135	0,911
136	0,919
137	0,927
138	0,935
139	0,942
140	0,95
141	0,958
142	0,966
143	0,974
144	0,982
145	0,99
146	0,998
147	1,006
148	1,013
149	1,021
150	1,029
151	1,037
152	1,045
153	1,053
154	1,061
155	1,069
156	1,077
157	1,085
158	1,094
159	1,102
160	01,ноя
161	1,118
162	1,126
163	1,134
164	1,142
165	янв,15
166	1,158
167	1,167
168	1,175
169	1,183
170	1,191
171	1,199
172	1,207
173	1,216
174	1,224
175	1,232
176	янв,24
177	1,249
178	1,257
179	1,265
180	1,273
181	1,282
182	янв,29
183	1,298
184	1,307
185	1,315
186	1,323
187	1,332
188	янв,34
189	1,348
190	1,357
191	1,365
192	1,373
193	1,382
194	янв,39
195	1,399
